model_name,,SamplingCA's 2-wise CA,,,,CAmpactor's 2-wise CA,,,,SamplingCA's 3-wise CA,,,,CAmpactor's 3-wise CA,,,,ScalableCA's 3-wise CA,,
,,avg_detected_faults,avg_FRD,avg_size,,avg_detected_faults,avg_FRD,avg_size,,avg_detected_faults,avg_FRD,avg_size,,avg_detected_faults,avg_FRD,avg_size,,avg_detected_faults,avg_FRD,avg_size
busybox,,6.4,91.43%,15.2,,5.7,81.43%,10.0,,7.0,100.00%,49.7,,7.0,100.00%,34.2,,6.9,98.57%,32.9
drupal,,92.8,81.40%,13.1,,96.2,84.39%,9.0,,112.2,98.42%,41.7,,111.0,97.37%,30.0,,109.7,96.23%,27.5
flex,,40.4,80.80%,21.7,,38.9,77.80%,21.0,,45.7,91.40%,61.0,,45.9,91.80%,46.0,,45.3,90.60%,45.0
grep,,5.3,48.18%,67.0,,6.3,57.27%,66.0,,8.4,76.36%,282.4,,8.7,79.09%,275.6,,9.7,88.18%,272.0
gzip,,3.9,78.00%,14.2,,4.0,80.00%,12.3,,4.8,96.00%,37.1,,4.6,92.00%,33.0,,4.9,98.00%,29.0
linux,,5.1,56.67%,13.0,,4.9,54.44%,9.0,,6.6,73.33%,38.6,,6.3,70.00%,28.0,,6.4,71.11%,26.0
make,,2.0,100.00%,8.9,,2.0,100.00%,7.0,,2.0,100.00%,19.2,,2.0,100.00%,16.7,,2.0,100.00%,14.0
nanoxml,,14.1,88.12%,10.8,,14.2,88.75%,8.0,,15.4,96.25%,24.4,,15.4,96.25%,24.0,,15.4,96.25%,20.0
sed,,18.7,85.00%,58.4,,18.3,83.18%,58.0,,20.5,93.18%,170.0,,20.5,93.18%,170.0,,20.7,94.09%,170.0
